orgao_sigla,entry_type,field,original_value,current_value,eixo_original,eixo_normalizado,confidence,review_reason,servico_acao,tabela_tipo
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,Transferir obrigação de cota de tela ( canal atual: e- mail ),pactuada
ANCINE,delivery,produto / eixo,Integração à ferramenta de avaliação da satisfação dos,Integração à ferramenta de avaliação da satisfação dos usuários,Serviços Digitais e Melhoria da Qualidade,Serviços Digitais e Melhoria da Qualidade,medium,fuzzy=0.92,"Verificar hipótese de não incidência de CONDECINE ( canal atual: Portal de Serviços, esteira Balcão Digital )",pactuada
ANEEL,delivery,produto / eixo,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",,Segurança e Privacidade,high,eixo corrigido por cross-validation: '' → 'Segurança e Privacidade',PPSI Ciclo 5,pactuada
ANM,delivery,produto / eixo,Integração à base de dados (OUTROS),Integração à base de dados,,Governança e Gestão de Dados,medium,,Comunicar a extração de fósseis,pactuada
ANM,delivery,produto / eixo,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",,Segurança e Privacidade,high,eixo corrigido por cross-validation: '' → 'Segurança e Privacidade',PPSI Ciclo 4,pactuada
ANM,delivery,produto / eixo,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",,Segurança e Privacidade,high,eixo corrigido por cross-validation: '' → 'Segurança e Privacidade',PPSI Ciclo 5,pactuada
ANM,delivery,produto / eixo,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",,Segurança e Privacidade,high,eixo corrigido por cross-validation: '' → 'Segurança e Privacidade',PPSI Ciclo 6,pactuada
ANM,delivery,produto / eixo,"Auto-avaliação, análise de lacunas e planejamento do PPSI","Auto-avaliação, análise de lacunas e planejamento do PPSI",,Segurança e Privacidade,high,eixo corrigido por cross-validation: '' → 'Segurança e Privacidade',PPSI Ciclo 7,pactuada
ANM,delivery,produto / eixo,Implementação do PPSI,Implementação do PPSI,,Segurança e Privacidade,high,eixo corrigido por cross-validation: '' → 'Segurança e Privacidade',PPSI Ciclo 4,pactuada
ANM,delivery,produto / eixo,Implementação do PPSI,Implementação do PPSI,,Segurança e Privacidade,high,eixo corrigido por cross-validation: '' → 'Segurança e Privacidade',PPSI Ciclo 5,pactuada
ANM,delivery,produto / eixo,Implementação do PPSI,Implementação do PPSI,,Segurança e Privacidade,high,eixo corrigido por cross-validation: '' → 'Segurança e Privacidade',PPSI Ciclo 6,pactuada
ANM,delivery,produto / eixo,Implementação do PPSI,Implementação do PPSI,,Segurança e Privacidade,high,eixo corrigido por cross-validation: '' → 'Segurança e Privacidade',PPSI Ciclo 7,pactuada
ANM,delivery,produto / eixo,Evolução do Serviço,Evolução do Serviço,,Serviços Digitais e Melhoria da Qualidade,high,eixo corrigido por cross-validation: '' → 'Serviços Digitais e Melhoria da Qualidade',Apresentar Declaração de Investimentos em Pesquisa Mineral (DIPEM),pactuada
ANM,delivery,produto / eixo,Evolução do Serviço,Evolução do Serviço,,Serviços Digitais e Melhoria da Qualidade,high,eixo corrigido por cross-validation: '' → 'Serviços Digitais e Melhoria da Qualidade',Apresentar denúncia de irregularidade em atividade de mineração,pactuada
ANM,delivery,produto / eixo,Evolução do Serviço,Evolução do Serviço,,Serviços Digitais e Melhoria da Qualidade,high,eixo corrigido por cross-validation: '' → 'Serviços Digitais e Melhoria da Qualidade',Apresentar relatório dos trabalhos de pesquisa,pactuada
ANM,delivery,produto / eixo,Evolução do Serviço,Evolução do Serviço,,Serviços Digitais e Melhoria da Qualidade,high,eixo corrigido por cross-validation: '' → 'Serviços Digitais e Melhoria da Qualidade',"Cadastrar, classificar e enviar informações e extratos de inspeção de barragens",pactuada
ANM,delivery,produto / eixo,Evolução do Serviço,Evolução do Serviço,,Serviços Digitais e Melhoria da Qualidade,high,eixo corrigido por cross-validation: '' → 'Serviços Digitais e Melhoria da Qualidade',Comunicar a extração de fósseis,pactuada
ANM,delivery,produto / eixo,Evolução do Serviço,Evolução do Serviço,,Serviços Digitais e Melhoria da Qualidade,high,eixo corrigido por cross-validation: '' → 'Serviços Digitais e Melhoria da Qualidade',Comunicar nova substância durante a pesquisa mineral,pactuada
