orgao_sigla,servico_acao,produto_original,produto_normalizado,produto_score,eixo_original,eixo_normalizado,data_pactuada,confidence
ANVISA,,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANVISA,,Integração à ferramenta de avaliação da satisfação dos usuário,Integração à ferramenta de avaliação da satisfação dos usuários,0.992,,,,high
ANVISA,,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANVISA,,Integração à ferramenta de avaliação da satisfação dos usuário,Integração à ferramenta de avaliação da satisfação dos usuários,0.992,,,,high
ANVISA,,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANVISA,,Integração à ferramenta de avaliação da satisfação dos usuário,Integração à ferramenta de avaliação da satisfação dos usuários,0.992,,,,high
ANVISA,,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANVISA,,Integração à ferramenta de avaliação da satisfação dos usuário,Integração à ferramenta de avaliação da satisfação dos usuários,0.992,,,,high
ANVISA,,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANVISA,,Integração à ferramenta de avaliação da satisfação dos usuário,Integração à ferramenta de avaliação da satisfação dos usuários,0.992,,,,high
ANVISA,,Integração ao Login Único,Integração ao Login Único,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Disponibilização em Acesso Digital,Disponibilização em Acesso Digital,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANVISA,,Integração à ferramenta de avaliação da satisfação dos usuário,Integração à ferramenta de avaliação da satisfação dos usuários,0.992,,,,high
ANVISA,,Integração ao Login Único,Integração ao Login Único,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANVISA,,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANVISA,,Integração à ferramenta de avaliação da satisfação dos usuário,Integração à ferramenta de avaliação da satisfação dos usuários,0.992,,,,high
ANVISA,,Integração ao Login Único,Integração ao Login Único,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Evolução do Serviço,Evolução do Serviço,1.0,,Serviços Digitais e Melhoria da Qualidade,,high
ANVISA,,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,,Unificação de Canais Digitais,,high
ANVISA,,Integração ao Pagtesouro,Integração ao Pagtesouro,1.0,,Unificação de Canais Digitais,,high
